N, Insert, Lookup, Remove
246,7.668e-06,1.28e-07,9.51e-07
247,4.201e-06,1.46e-07,1.432e-06
248,1.3198e-05,1.23e-07,6.093e-06
249,4.874e-06,1.29e-07,2.44e-06
250,8.709e-06,1.25e-07,2.789e-06
251,9.852e-06,1.19e-07,4.104e-06
252,5.951e-06,1.17e-07,2.118e-06
253,8.775e-06,1.17e-07,1.867e-06
254,5.746e-06,1.17e-07,2.492e-06
255,5.283e-06,1.32e-07,1.329e-06
256,3.804e-06,1.23e-07,1.316e-06
257,2.204e-06,1.2e-07,9.41e-07
258,3.785e-06,1.2e-07,1.226e-06
259,8.052e-06,1.28e-07,4.964e-06
260,9.891e-06,1.29e-07,1.737e-06
261,4.082e-06,1.2e-07,1.726e-06
262,2.317e-06,1.28e-07,1.333e-06
263,8.064e-06,1.2e-07,2.162e-06
264,5.987e-06,1.26e-07,2.196e-06
265,5.905e-06,1.22e-07,3.161e-06
266,5.451e-06,1.19e-07,2.074e-06
267,7.68e-06,1.21e-07,2.097e-06
268,7.767e-06,1.19e-07,4.832e-06
269,6.736e-06,1.2e-07,2.569e-06
270,7.193e-06,1.2e-07,3.295e-06
271,6.218e-06,1.19e-07,2.965e-06
272,8.498e-06,1.28e-07,1.895e-06
273,8.383e-06,1.25e-07,4.222e-06
274,5.738e-06,1.2e-07,1.809e-06
275,5.743e-06,1.3e-07,1.794e-06
276,5.213e-06,1.2e-07,2.457e-06
277,9.892e-06,1.17e-07,1.217e-06
278,5.745e-06,1.31e-07,3.001e-06
279,7.193e-06,1.23e-07,1.713e-06
280,7.647e-06,1.46e-07,2.425e-06
281,8.238e-06,1.27e-07,2.817e-06
282,5.582e-06,1.21e-07,1.232e-06
283,5.664e-06,1.2e-07,2.927e-06
284,9.411e-06,1.19e-07,2.493e-06
285,6.598e-06,1.23e-07,2.5e-06
286,3.132e-06,1.5e-07,9.83e-07
287,8.435e-06,1.21e-07,4.445e-06
288,6.964e-06,1.22e-07,2.465e-06
289,6.401e-06,1.21e-07,9.33e-07
290,9.161e-06,1.2e-07,3.732e-06
291,9.043e-06,1.19e-07,2.941e-06
292,1.206e-06,1.16e-07,9.01e-07
293,4.519e-06,1.22e-07,1.695e-06
294,1.0051e-05,1.2e-07,3.284e-06
295,5.667e-06,1.18e-07,2.15e-06
296,4.459e-06,1.21e-07,2.041e-06
297,4.821e-06,1.2e-07,2.149e-06
298,6.534e-06,1.19e-07,1.714e-06
299,6.909e-06,1.31e-07,2.458e-06
300,8.446e-06,1.32e-07,1.83e-06
301,7.797e-06,1.21e-07,1.555e-06
302,4.111e-06,1.2e-07,2.224e-06
303,6.709e-06,1.19e-07,2.941e-06
